,id,name,city,salary_min,salary_max,salary_currency,metro,experience,skills,specializations,professional_roles,employer,published_at
0,69188139,Менеджер по качеству,Санкт-Петербург,70000.0,,RUR,,От 1 года до 3 лет,"['Контроль качества', 'Пользователь ПК', 'Организаторские навыки', 'Взаимодействие с контрольными органами']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,Марьям+,2022-08-25T18:06:36+0300
1,69211172,Специалист отдела управления качеством,Санкт-Петербург,,,,,От 3 до 6 лет,[],"['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,Вест-Инжиниринг,2022-08-26T14:03:24+0300
2,69141153,Начальник службы качества,Санкт-Петербург,90000.0,,RUR,Ломоносовская,От 3 до 6 лет,"['Организаторские навыки', 'Деловое общение', 'Умение общаться с людьми', 'Опытный пользователь ПК', 'внимательность к деталям, умение работать с большими объемами информации', 'Производственное планирование', 'Умение расставлять приоритеты', 'Контроль качества', 'Управление производством', 'Управление производственным персоналом', 'Технический контроль производства']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,Готэк Северо-Запад,2022-08-24T16:14:40+0300
3,67774184,Руководитель отдела контроля качества/ Главный технолог,Санкт-Петербург,100000.0,200000.0,RUR,Нарвская,От 3 до 6 лет,"['Контроль качества', 'Работа в команде', 'Организаторские навыки', 'Управление качеством', 'Аналитическое мышление', 'Внутренний контроль', '1С: Производство', 'Внедрение стандартов ISO', 'Высшее образование', 'Руководство людьми', 'Коммуникабельность, ответственность', 'планировать и оптимально организовать рабочий процесс', 'Аналитические навыки', 'Способность работать с документами', 'Ответственный подход к работе', 'Уверенный пользователь ПК (MS Office)', 'Разрешение спорных ситуаций']","['Технолог, Производство и переработка зерновых', 'Технолог, Производство сахара', 'Метролог', 'Технолог', 'Технолог, Мясо- и птицепереработка']",Инженер-технолог,ФабрикаПетербургский КондитерЪ,2022-08-27T13:29:57+0300
4,67779729,Специалист по бизнес-процессам / Менеджер СМК,Санкт-Петербург,100000.0,,RUR,Обводный Канал,От 3 до 6 лет,"['Управление качеством', 'Моделирование бизнес процессов', 'Написание процедур', 'Оптимизация бизнес-процессов', 'Управление процессами', 'Автоматизация технологических процессов', 'Система менеджмента качества', 'Измерение эффективности', 'разработка нормативных документов']","['Розничная торговля', 'Прямые продажи', 'Менеджер по работе с клиентами', 'Начальный уровень, Мало опыта', 'Продажи']",Другое,Юпитер,2022-08-25T15:56:27+0300
5,69137839,Специалист по сертификации и управлению качеством,Санкт-Петербург,,,,,От 3 до 6 лет,"['Работа с большим объемом информации', 'MS PowerPoint', 'Сертификация продукции', 'Умение работать в режиме многозадачности', 'Аналитическое мышление']","['Розничная торговля', 'Прямые продажи', 'Менеджер по работе с клиентами', 'Начальный уровень, Мало опыта', 'Продажи']",Другое,ТЕК-КОМ,2022-08-27T15:15:37+0300
6,69116598,Заместитель Генерального директора по качеству,Санкт-Петербург,,,,,От 3 до 6 лет,"['Управление качеством', 'ISO 9001:2008', 'Контроль качества', 'Внутренний аудит', 'Внутренний контроль']","['Розничная торговля', 'Прямые продажи', 'Менеджер по работе с клиентами', 'Начальный уровень, Мало опыта', 'Продажи']",Другое,Титан-Полимер,2022-08-24T09:34:38+0300
7,69121205,Специалист системы менеджмента качества,Санкт-Петербург,50000.0,,RUR,,Нет опыта,"['Работа с большим объемом информации', 'ИСО 9001', 'Управление качеством']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,АО ЗАСЛОН,2022-08-24T10:47:41+0300
8,68782720,Специалист по качеству,Санкт-Петербург,,60000.0,RUR,,От 1 года до 3 лет,[],"['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,Глобус элит,2022-08-27T12:02:20+0300
9,68867698,Специалист ОТК / контролер по качеству,Санкт-Петербург,60000.0,80000.0,RUR,,От 3 до 6 лет,"['Пользователь ПК', 'Работа в команде', 'Организаторские навыки', 'Контроль качества']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,Профилегиб,2022-08-26T09:31:19+0300
